modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
;Russell et al,56,2011,Lithophyllum sp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Indian,Warm temperate,Juvenile,933,407,,7.96,-0.15,,,17,14,38,76,7,8.6,0.8,-0.450927482,0.002999858,1.202081528,4.076262621,-4.076262621
;Russell et al,56,2011,Lithophyllum sp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Indian,Warm temperate,Juvenile,933,407,,7.96,-0.15,,,34,14,38,76,7,9.8,1.1,-0.04976151,0.005247053,1.372953022,0.36417852,-0.36417852
;Vogel ,61,2015,CCA,,,,Florida,Atlantic,Tropical,Juvenile,941,581,7.77,7.77,-0.325,0.270554985,,700,25.2,35.2,162,3,5.085,3.877742941,-0.715270363,0.217517415,3.37004344,1.576389176,-1.576389176
;Vogel ,61,2015,CCA,,,,Florida,Atlantic,Tropical,Juvenile,648.75,288.75,7.8725,7.8725,-0.2225,9.814830615,,700,25.2,35.2,162,3,13.311875,2.622396026,0.247091101,0.036608205,2.697633794,-1.080344933,1.080344933
;Vogel ,61,2015,CCA,,,,Florida,Atlantic,Tropical,Juvenile,438.5,78.5,8,8,-0.095,2.679073223,,700,25.2,35.2,162,3,21.97416667,11.30884247,0.748302128,0.111957971,8.233086094,-1.406115099,1.406115099
;Jokiel et al.,33,2008,CCA,,,,Hawaii,Pacific,Tropical,Juvenile,654.1833333,291.2355556,7.81,7.81,-0.23666,2000.311111,,470,26.71222222,34.67,267,3,-0.9,0.519615242,#NUM!,0.361111111,0.519615242,2.886751346,-2.886751346
;Kuffner et al.,37,2008,CCA,,,,Hawaii,Pacific,Tropical,Juvenile,654.1833,291.2356,7.81,7.81,-0.23666,2000.311,,470,26.71222,34.67,51,3,23.33333,2.886751,-1.49771,0.012584,11.23981332,7.206522715,-7.206522715
";""Padilla-Gami?o",62,2016,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales, California,Pacific,Cool Temperate,Juvenile,1033,623,7.7,7.7,-0.3,2224.4,,30.5,15,33.2,30,24,1.06031807,0.15738533,-0.489157737,0.001319063,0.163638752,4.088268539,-4.088268539
";""Padilla-Gami?o",62,2016,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales, California,Pacific,Cool Temperate,Juvenile,1033,623,7.7,7.7,-0.3,2224.4,,30.5,15,33.2,30,24,1.08276803,0.16283535,-0.482137245,0.001229603,0.154457657,4.342999262,-4.342999262
";""Padilla-Gami?o",62,2016,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales, California,Pacific,Cool Temperate,Juvenile,1033,623,7.7,7.7,-0.3,2224.4,,30.5,15,33.2,30,24,1.29016726,0.15742431,-0.310987949,0.000981534,0.160712929,2.928313815,-2.928313815
";""Padilla-Gami?o",62,2016,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales, California,Pacific,Cool Temperate,Juvenile,1033,623,7.7,7.7,-0.3,2224.4,,30.5,15,33.2,30,24,1.29909353,0.15119322,-0.276481696,0.000834469,0.144700677,2.859274592,-2.859274592
";""Padilla-Gami?o",62,2016,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales, California,Pacific,Cool Temperate,Juvenile,1186,701,7.6,7.6,-0.4,2224.8,,30.5,15,33.2,30,2,85.61591325,11.51729046,-0.19669896,0.010532581,9.080159878,2.049630623,-2.049630623
";""Padilla-Gami?o",62,2016,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales, California,Pacific,Cool Temperate,Juvenile,1186,701,7.6,7.6,-0.4,2224.8,,30.5,15,33.2,30,2,48.13367506,2.638346639,-0.15686027,0.002913567,2.820508256,2.898287967,-2.898287967
";""Padilla-Gami?o",62,2016,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales, California,Pacific,Cool Temperate,Juvenile,1186,701,7.6,7.6,-0.4,2224.8,,30.5,15,33.2,30,2,155.0996681,4.902693162,-0.02228133,0.002059337,7.158846127,0.488153347,-0.488153347
";""Padilla-Gami?o",62,2016,Corallina vancouveriensis,Corallinoideae,Corallinaceae,Corallinales, California,Pacific,Cool Temperate,Juvenile,1186,701,7.6,7.6,-0.4,2224.8,,30.5,15,33.2,30,2,133.208532,10.8302875,0.274565718,0.005630816,9.08174646,-3.521689781,3.521689781
